FAILURE_TYPE,NAME,DATE,POTENTIAL_PRICE,POTENTIAL_DATE,STATUS
Critical,QFGWNFBDAZ,2023-10-30,975,2024-08-12,FINISHED
High,8GXGHKNLRM,2023-12-19,706,2024-07-26,UNREPAIRABLE
Mild,JE6SIIQWAX,2024-03-14,4050,2024-12-28,NEW
Mild,QG77WQ2ZVW,2024-01-09,8744,2024-06-09,UNREPAIRABLE
High,A6FON439NV,2024-01-23,9715,2024-11-26,NEW
High,PL9RX379TP,2023-11-17,7531,2024-07-03,UNREPAIRABLE
Critical,PWVZIAI2F7,2023-11-14,2698,2024-05-05,NEW
Low,6FN9Q9XN1C,2024-04-13,13,2025-01-20,IN_PROGRESS
Mild,QLZMW7K0G6,2023-12-24,8021,2024-09-14,NEW
High,3C3ASN0QIX,2023-10-21,5427,2024-10-03,IN_PROGRESS
Low,G3X4QD7RBP,2023-12-04,8600,2025-03-24,FINISHED
Mild,VDN7X95278,2023-10-27,8354,2025-04-20,IN_PROGRESS
Mild,YH4H67DXHO,2023-10-17,4583,2024-10-12,UNREPAIRABLE
Low,2E8Y8JEMFP,2023-12-21,6432,2024-12-24,NEW
High,96IW8KB34E,2024-04-17,2645,2024-11-10,UNREPAIRABLE
Critical,WCB3ZVG9HY,2024-04-03,560,2024-06-04,UNREPAIRABLE
Mild,WFSAK7H3EK,2024-01-09,1184,2024-09-01,NEW
Low,NQAVEM1DNK,2024-03-18,7775,2024-05-02,IN_PROGRESS
Mild,ISWUAOJYWF,2023-10-29,4455,2025-02-11,UNREPAIRABLE
Low,U9F5RLI48G,2023-10-11,1403,2024-12-29,IN_PROGRESS
Low,W08YRD1OQ3,2024-01-10,1160,2024-09-21,IN_PROGRESS
High,M1YQQ2PN02,2023-12-07,9905,2024-11-03,IN_PROGRESS
Critical,RYVT1T8QOT,2023-10-15,5468,2024-08-15,FINISHED
Mild,9FOHFIZ672,2023-12-29,8896,2024-06-08,NEW
High,3N92FV4J7U,2023-11-15,2213,2025-01-22,UNREPAIRABLE
Critical,7T3LSZ3WYY,2024-01-17,9744,2025-03-20,IN_PROGRESS
Low,QR6OMEA6MH,2024-03-15,5449,2025-01-31,NEW
Mild,NDGKZPU5LT,2024-03-21,6148,2024-05-12,FINISHED
High,IHBN96EHAV,2023-11-10,2474,2025-03-11,IN_PROGRESS
Critical,3ABLGZYVL3,2023-10-14,5800,2024-09-18,NEW
Low,IELB80NVZ0,2024-01-23,2756,2024-05-04,NEW
Critical,UOB537CCJ8,2024-04-07,539,2025-01-26,FINISHED
Low,KKSD2PEGHG,2024-02-27,6385,2024-12-30,UNREPAIRABLE
Critical,BEL44EXETH,2023-12-22,1995,2025-02-17,NEW
Mild,17EKBSLQON,2024-02-04,8473,2025-03-01,NEW
Critical,CVZGYIVKYU,2023-11-24,3328,2024-05-03,UNREPAIRABLE
Critical,EF7DB2E37S,2023-10-24,1755,2024-05-04,UNREPAIRABLE
Mild,47G6TZ28I7,2023-11-22,4600,2024-06-08,NEW
Critical,M8W6L9OJBQ,2023-10-21,9119,2024-10-09,UNREPAIRABLE
Mild,YL3TGTLUAI,2024-03-13,6799,2025-01-06,IN_PROGRESS
Critical,9Q4QEJTNDM,2024-01-28,4885,2024-08-09,UNREPAIRABLE
Low,IXOZDRTT49,2023-11-19,1462,2025-02-26,UNREPAIRABLE
Mild,GTHC9G777D,2023-10-12,7843,2024-07-18,UNREPAIRABLE
Low,H9JFFFWI7R,2023-11-26,6676,2024-07-21,UNREPAIRABLE
High,J5WRIPEVMK,2023-11-29,4185,2024-12-06,FINISHED
High,OELUJHRMFI,2023-12-01,6201,2025-04-06,NEW
Low,K6M0UJPMJV,2024-01-31,6210,2024-11-20,IN_PROGRESS
High,N8I3JDSDYG,2023-11-24,4573,2025-02-11,UNREPAIRABLE
Critical,9C3G3CZAVO,2024-04-06,7150,2024-09-09,UNREPAIRABLE
Critical,82N39M9W5B,2024-02-28,739,2024-08-25,FINISHED
Low,99EETNZJ8S,2024-04-27,7847,2025-03-05,FINISHED
Low,H683S3C1LN,2024-01-29,9770,2025-02-16,NEW
Critical,OH7OCBNUO0,2023-11-05,4623,2025-02-08,UNREPAIRABLE
Critical,O83IZ4HVLC,2024-02-27,2872,2024-09-12,NEW
Critical,1R3PSQ1PZT,2024-01-09,2974,2024-08-04,UNREPAIRABLE
Critical,KGW8CE3XLL,2023-11-27,5992,2024-08-01,FINISHED
High,7XJJCDTYW8,2023-11-25,9160,2024-09-10,UNREPAIRABLE
Critical,343H06DPB9,2024-02-24,2751,2024-07-29,NEW
High,22L6KAL5RI,2024-01-06,8427,2024-10-12,NEW
Critical,ZJVZIR2MUZ,2023-11-19,1479,2024-08-21,NEW
High,C2YMU4R0IN,2024-01-24,309,2024-11-03,IN_PROGRESS
High,H01R8WERJS,2023-12-18,8782,2024-09-05,UNREPAIRABLE
Critical,GA8T1B3BMW,2023-10-28,4971,2025-04-27,UNREPAIRABLE
Critical,BY7O62TX13,2023-12-17,4017,2024-08-15,IN_PROGRESS
Mild,BUMS6JPYJJ,2024-01-06,7671,2025-03-23,NEW
Mild,VS960LY7FR,2024-04-14,6004,2024-11-21,FINISHED
Mild,WE2X7XU2B0,2024-03-28,272,2025-01-31,NEW
Mild,ILVRNPRKPN,2023-12-28,3083,2024-12-23,NEW
Mild,DQ1T3PBDHN,2023-11-11,4486,2024-12-04,NEW
High,QYR8KPX475,2023-11-29,8468,2025-04-23,UNREPAIRABLE
Critical,QPJPHV4URO,2024-02-25,2857,2025-04-12,FINISHED
Low,Y9M8JI4SAS,2024-04-24,18,2024-12-17,FINISHED
Low,C1ZROA6R6K,2024-01-12,6293,2025-01-16,FINISHED
High,4UAXH8IN5V,2024-01-16,5749,2025-02-16,NEW
Critical,FXTHUL1MFU,2023-10-31,4487,2025-03-18,FINISHED
High,SGGCMQG4XD,2023-11-10,5351,2025-03-04,NEW
High,3T0GDLJWFU,2024-04-10,9551,2024-07-10,UNREPAIRABLE
Mild,V71VIFVRTF,2023-10-29,3024,2024-11-28,IN_PROGRESS
Mild,4GY5XTOB9U,2023-12-16,6976,2025-02-04,FINISHED
High,ZNWYWML5JU,2024-01-16,720,2025-03-17,FINISHED
Low,B6TY4R2PPR,2023-12-20,1498,2024-08-01,IN_PROGRESS
Low,QGGOVSD5V4,2024-01-30,3596,2024-10-18,UNREPAIRABLE
Critical,O155ESSIUB,2024-02-24,4802,2025-03-08,IN_PROGRESS
Critical,VKB2YP7JZH,2024-03-22,3389,2024-11-08,NEW
Mild,HLGBZ4HIA6,2024-04-08,1182,2024-07-11,IN_PROGRESS
High,HCBZEO5177,2024-02-02,2421,2025-02-25,NEW
Mild,5KZP7B48D7,2023-10-11,944,2025-01-19,IN_PROGRESS
Mild,CNP7BD610S,2023-10-26,1271,2025-02-22,IN_PROGRESS
Mild,BAUIXKW9WN,2024-03-16,3876,2025-04-09,NEW
High,OV9IXT04IR,2023-11-29,3569,2024-08-28,IN_PROGRESS
Critical,QP3RV4BF65,2023-10-14,2666,2024-07-19,IN_PROGRESS
Mild,RN42PPCEN9,2024-03-20,874,2024-11-14,FINISHED
Mild,K12ZLBJQBN,2024-01-03,4111,2024-06-04,FINISHED
High,5BN2140IGW,2023-12-16,6505,2024-12-30,IN_PROGRESS
Mild,YHWY4MIOMR,2024-04-03,2534,2024-06-28,FINISHED
High,O4QBZLOC1V,2024-03-23,4071,2024-12-20,IN_PROGRESS
Critical,MTOL6RHKLN,2024-01-17,9363,2025-01-25,UNREPAIRABLE
Mild,FQI01DUNVG,2023-12-03,7594,2025-03-31,NEW
Mild,JVWYHLHKOW,2023-11-17,2483,2024-05-06,NEW
Critical,53KFCYKCWW,2024-04-08,3811,2024-05-12,NEW
Low,WFOB252YYO,2023-11-29,8296,2024-07-24,NEW
High,YMW9SB08PT,2023-11-26,7513,2025-04-12,FINISHED
Critical,8QVEJL2PFD,2024-02-08,9861,2024-10-26,FINISHED
Critical,NVI8CAYZ81,2023-12-31,102,2024-09-12,UNREPAIRABLE
Mild,HLM35OC9JM,2023-11-01,8250,2024-07-15,IN_PROGRESS
High,R4P92BUVXY,2023-12-22,1347,2025-04-05,FINISHED
Mild,KZSYP40MVD,2023-11-15,7820,2024-05-31,NEW
High,83ZEHKVA0N,2024-02-19,478,2025-02-04,IN_PROGRESS
High,YBQS0KC60T,2024-01-03,2808,2024-11-25,FINISHED
High,G8JNU77K5C,2024-04-18,7438,2025-02-11,IN_PROGRESS
Mild,6I2EYXWR12,2024-01-28,9755,2025-02-27,UNREPAIRABLE
Low,AV2GBHXPFW,2024-02-09,5189,2024-10-24,NEW
High,GB4V1UAOX2,2024-02-06,3146,2025-04-19,NEW
Critical,W51N15HJYS,2024-04-23,7910,2024-08-03,UNREPAIRABLE
High,7P5SQTQ09J,2024-01-08,3711,2024-05-25,IN_PROGRESS
Low,EOJ1CXWBT1,2024-02-27,5682,2024-08-15,NEW
Critical,CKB2IZBO4H,2024-01-23,6333,2025-01-19,IN_PROGRESS
Critical,8DPH8GB8SP,2023-10-25,5831,2025-02-25,FINISHED
Mild,759J8XTVOK,2024-02-28,8071,2024-07-14,UNREPAIRABLE
Mild,1VOJPVEF9H,2024-01-01,3535,2024-06-22,IN_PROGRESS
Critical,5CRD8JUV41,2024-02-09,6128,2025-02-27,UNREPAIRABLE
Critical,19A0NR2GG2,2024-02-09,3196,2024-12-13,UNREPAIRABLE
Critical,MFLECQOCH9,2024-01-28,9325,2024-06-13,FINISHED
Mild,R59P2YFU5Y,2023-11-03,9611,2024-12-21,FINISHED
Mild,O6YWMNPHFB,2023-12-19,4929,2024-09-21,NEW
Low,82UH407BEG,2024-01-18,3773,2024-12-22,NEW
Critical,VF9ZQSF4ZP,2023-12-20,1763,2024-12-24,FINISHED
High,3NY18YUY4N,2023-11-12,7914,2025-03-21,UNREPAIRABLE
Critical,SDDKV1ZZYW,2023-12-30,8004,2025-03-06,UNREPAIRABLE
Critical,65V7VMNQ98,2023-11-07,2820,2024-06-17,NEW
Critical,JR69R3QZUG,2023-10-14,3587,2024-09-18,FINISHED
Low,FCU51A7UH5,2023-11-05,1060,2024-06-26,NEW
Mild,EFFTJPW5U6,2023-11-07,3003,2025-02-05,UNREPAIRABLE
Low,SOM7J2K2SD,2024-02-27,3935,2024-08-03,UNREPAIRABLE
Mild,9NZH8YUZ3L,2023-11-11,6168,2024-09-01,NEW
Mild,GALFB8AGLR,2023-12-07,759,2024-11-30,FINISHED
Mild,A3LSX8SED5,2024-01-01,7438,2025-02-05,NEW
Mild,O8UUW197LW,2024-01-21,8294,2024-06-08,IN_PROGRESS
High,6UFDURWKYR,2023-11-19,7295,2024-12-20,FINISHED
Low,6A62VY7JBJ,2024-03-30,1213,2024-12-26,IN_PROGRESS
Critical,KB18XDWCZL,2024-02-08,2647,2024-07-08,UNREPAIRABLE
Mild,S67YZY65OD,2023-12-15,2817,2025-03-29,UNREPAIRABLE
Low,RZKEA1BS5I,2024-01-02,1333,2024-08-05,NEW
Mild,QK4TKJR1RZ,2023-11-14,5628,2024-05-05,UNREPAIRABLE
Low,F190IWNZTU,2024-01-22,9181,2025-01-28,UNREPAIRABLE
Critical,R0GOBTAOIB,2023-10-29,4191,2024-09-23,IN_PROGRESS
High,HOCJ3DNDRH,2024-04-14,7602,2024-06-21,NEW
High,JV56FFUVV1,2023-11-22,745,2025-04-24,NEW
Mild,J7D7KGSE9V,2023-10-17,8627,2024-12-09,UNREPAIRABLE
Low,DONB4RGP5K,2023-12-21,7316,2024-08-06,IN_PROGRESS
Low,KWUC5YLK0W,2024-03-06,9370,2025-04-22,NEW
Critical,JS54XMZAF7,2024-01-30,110,2024-08-06,FINISHED
Low,6QCTT6ULM3,2024-02-04,439,2024-09-25,NEW
Low,AL9HYXVZNP,2023-11-21,7067,2024-09-24,NEW
High,MIAYD68G8W,2024-02-06,8330,2024-08-06,UNREPAIRABLE
Critical,NPAL3IRYTM,2024-02-15,689,2024-12-16,FINISHED
Mild,HFAEULJYXF,2024-03-02,6893,2025-02-20,FINISHED
Mild,1VN6SNKF12,2024-01-25,1437,2025-03-21,UNREPAIRABLE
Low,IMJBSKBLVQ,2023-10-22,8566,2025-03-17,NEW
High,VOF32ZUPK9,2024-03-09,414,2024-06-28,FINISHED
Mild,2GJJQ0680G,2023-11-23,9353,2024-12-06,IN_PROGRESS
High,9SL6BU7GCT,2023-12-12,575,2024-09-06,UNREPAIRABLE
Mild,ZN4JJP6ZBA,2023-11-09,9678,2024-08-27,IN_PROGRESS
High,QIKWWXV9BL,2024-02-07,8042,2024-10-06,IN_PROGRESS
Mild,WYQTYSEH0Q,2023-11-29,5550,2025-01-11,NEW
Low,Z1XJTMAJT5,2023-10-20,4529,2025-01-24,NEW
High,CKAZM56VIS,2024-04-08,9896,2025-04-02,IN_PROGRESS
High,WDFHI9A39Z,2024-01-03,9040,2024-08-07,UNREPAIRABLE
Mild,PBU90UG9E8,2024-03-31,5044,2024-05-13,NEW
Critical,AEP892E56L,2023-12-08,7410,2025-03-16,IN_PROGRESS
High,ZPGNY6FPN9,2023-11-15,5870,2024-07-28,FINISHED
High,J1SV9D9BWK,2024-01-02,5811,2025-01-04,IN_PROGRESS
Critical,0RIP859748,2024-01-13,9801,2025-01-08,UNREPAIRABLE
Low,ZBS8XCUHOV,2023-11-27,1547,2025-03-24,NEW
High,H7EBPU7O7B,2024-02-14,6399,2024-12-20,UNREPAIRABLE
High,BHCQWVIMR7,2024-04-22,8992,2024-12-04,FINISHED
Critical,MIRXQXEAZX,2024-03-15,6121,2024-12-27,NEW
High,KDM6UQD83G,2024-01-15,1839,2024-05-25,IN_PROGRESS
Critical,V7JZ1ORDS9,2024-04-18,4951,2024-07-10,IN_PROGRESS
Low,6W2M0ZZQR4,2023-10-29,9182,2024-08-17,IN_PROGRESS
Mild,WI4OBP2WTN,2024-01-12,3905,2025-03-03,IN_PROGRESS
Critical,6OXJ4AGK8V,2023-11-13,3682,2024-08-18,IN_PROGRESS
Critical,AOP2T5TWAO,2023-12-12,3302,2024-05-14,UNREPAIRABLE
Mild,A6FSGKER40,2024-03-13,9253,2025-02-10,FINISHED
Mild,M32CKP009L,2024-03-12,9247,2024-08-31,NEW
Low,QY41UO16KQ,2024-02-09,9719,2024-10-21,NEW
High,7JCL5OZ5SL,2023-10-19,3600,2025-04-22,UNREPAIRABLE
Low,1MDRR9SXO0,2024-03-15,425,2024-08-28,NEW
Mild,PBJFODZE46,2024-02-06,386,2024-10-30,IN_PROGRESS
Low,CJXRBNLWPS,2024-03-26,2527,2024-08-06,NEW
Critical,JWTMGK3PKQ,2024-02-28,2426,2024-06-15,NEW
Critical,PWYIMZ9672,2024-01-28,2916,2025-04-23,NEW
Mild,TYVCKRPTVF,2024-03-16,8566,2024-12-05,UNREPAIRABLE
High,BID7SRRV5S,2023-11-01,6055,2025-01-31,NEW
High,NQ31WNCX35,2024-04-22,9521,2024-06-27,IN_PROGRESS
High,IU8JVJMDGQ,2023-11-02,7208,2025-03-11,IN_PROGRESS
High,L9H9VIYT7N,2024-02-19,3257,2025-04-08,UNREPAIRABLE
Low,5UTLTVXY5Q,2024-02-24,850,2024-08-05,UNREPAIRABLE
Mild,4BM6HIQ019,2024-02-07,4686,2025-02-18,NEW
Mild,CRI26DNMHP,2023-12-23,2553,2024-04-30,UNREPAIRABLE
Critical,Z3ZF4G71AD,2024-02-29,9784,2024-07-13,UNREPAIRABLE
Critical,FRCV3NDRGU,2023-10-16,9099,2024-09-23,FINISHED
Mild,5IW69RTD40,2023-10-20,9418,2024-09-01,UNREPAIRABLE
Low,BUCOX74K2A,2024-04-10,2804,2024-12-22,UNREPAIRABLE
High,TF29JZDEWS,2024-02-21,8980,2024-07-25,FINISHED
High,6OG45QAGN7,2024-03-04,1545,2024-07-03,UNREPAIRABLE
Critical,MNO2ATU99R,2023-10-13,1831,2024-05-28,IN_PROGRESS
Mild,5ATXIT3MQZ,2023-11-20,8493,2025-04-03,IN_PROGRESS
High,5DQG7RO3NH,2024-02-16,6050,2025-01-28,NEW
High,95Q8VVV6NL,2024-04-09,1048,2024-10-22,UNREPAIRABLE
High,B1NJ3A30BJ,2023-11-11,5006,2025-02-07,UNREPAIRABLE
High,80QBWGR3XZ,2024-03-04,7524,2025-01-05,IN_PROGRESS
Low,LN69BZWZWA,2023-12-31,6549,2024-04-30,UNREPAIRABLE
Low,OKFBN1RFYP,2023-11-06,6014,2024-05-02,NEW
Low,XX7NI1O5WM,2023-10-20,1951,2024-11-01,IN_PROGRESS
Critical,APX7JLVE3K,2024-03-06,1190,2024-10-10,UNREPAIRABLE
Mild,L7C912SX5J,2023-12-16,6520,2024-07-05,UNREPAIRABLE
Mild,4KE1ZXCF5Y,2024-04-13,6605,2024-05-20,UNREPAIRABLE
Mild,EIEAKHIPPD,2024-02-13,5953,2025-01-10,IN_PROGRESS
Critical,0NFHLLYBP3,2023-12-07,2532,2025-04-07,IN_PROGRESS
Low,MDAVU9HPLN,2023-11-29,2934,2025-02-21,NEW
Critical,FC0VQRG8FE,2023-12-14,3864,2024-05-23,IN_PROGRESS
High,UA9PT2JZOK,2024-04-13,6296,2024-05-03,FINISHED
Critical,0C3NK530CQ,2024-02-13,2661,2024-06-30,IN_PROGRESS
Critical,YRJB9SGL1L,2024-02-24,7877,2025-04-12,FINISHED
High,QNBJ6OAE8P,2024-01-23,9477,2024-07-18,IN_PROGRESS
Critical,A8JDOKN89O,2023-12-09,6385,2024-06-05,NEW
Critical,A429PYCGTI,2024-03-10,10400,2025-02-08,FINISHED
High,2LBHS9XT6I,2023-12-21,7968,2025-02-27,NEW
High,XBDAYSLK6J,2023-12-22,4176,2024-09-25,UNREPAIRABLE
Low,HYVG4OZQA5,2024-03-30,340,2025-02-08,IN_PROGRESS
Low,S5NO8I7Y99,2024-03-26,5747,2024-07-15,IN_PROGRESS
High,7A3SXZRSK9,2023-12-09,938,2024-08-15,UNREPAIRABLE
Critical,3UEH3V7M99,2024-03-13,5877,2024-05-23,UNREPAIRABLE
High,D0Z1VHGBSV,2023-12-15,3952,2025-04-12,FINISHED
Critical,VY8FXTPEJT,2023-11-15,4389,2024-05-02,UNREPAIRABLE
Critical,HQUE946IUF,2023-10-18,3703,2025-02-23,NEW
Low,Y239NEX3NN,2024-04-17,9576,2024-07-16,FINISHED
Critical,8E2AB00GNW,2024-03-12,10043,2025-01-02,IN_PROGRESS
High,BV5KQEUD8E,2024-01-19,9141,2024-11-22,NEW
High,F99NSF16MU,2023-12-01,2529,2025-01-30,NEW
Mild,9CYAC9XWEK,2024-02-22,6978,2025-04-21,NEW
Low,6EOQQ705VF,2024-01-11,0,2025-03-20,IN_PROGRESS
Critical,XJ5X6I95UH,2024-03-28,5458,2024-09-28,FINISHED
Mild,ENAZ0YMTQJ,2024-03-12,11521,2024-05-25,UNREPAIRABLE
Critical,RM0FYC8QVI,2023-11-03,1798,2024-12-30,IN_PROGRESS
Mild,7P72YF8M26,2024-01-14,2894,2025-02-18,FINISHED
Low,L2JFU35DD6,2023-12-16,4402,2024-12-08,NEW
High,X8E7BXN43L,2023-11-01,619,2024-09-02,NEW
Critical,ESE6QW6596,2023-10-11,11421,2025-02-25,UNREPAIRABLE
Mild,2C034B35M4,2024-01-23,4876,2025-03-06,IN_PROGRESS
Critical,53JJL196SV,2024-01-06,3806,2024-05-17,FINISHED
Mild,TZWCAVS8SE,2023-12-29,7581,2025-01-17,UNREPAIRABLE
Critical,IWSTX29V3L,2023-12-18,6282,2024-06-14,IN_PROGRESS
High,KS85HGYMAU,2024-02-14,3663,2024-10-21,IN_PROGRESS
Critical,YN5R1R9HGZ,2024-03-27,1594,2024-05-30,UNREPAIRABLE
High,ECX69X8GH5,2023-11-04,10170,2025-03-25,NEW
High,77PVDQJPZ2,2023-11-20,3138,2024-11-20,NEW
Mild,RQBWMS7L4T,2024-02-04,9908,2025-01-09,UNREPAIRABLE
High,ERHH2MWSU6,2024-03-27,9074,2024-08-08,IN_PROGRESS
Low,IV5NIGNDMZ,2023-10-14,4400,2024-05-17,FINISHED
Mild,MQGL4HZNYZ,2024-03-11,7109,2024-06-25,FINISHED
Low,IRL9M1I69H,2023-10-28,6630,2024-05-29,UNREPAIRABLE
Mild,M3ICCHH790,2024-03-03,9003,2025-02-15,UNREPAIRABLE
Critical,AHGL25DYAF,2024-04-21,6675,2025-01-10,IN_PROGRESS
High,OZ0ROUGEHY,2024-01-08,3676,2024-05-18,FINISHED
Critical,TPLCVP8HY3,2023-11-06,891,2024-12-13,UNREPAIRABLE
Mild,JVCSZRD5WD,2024-01-29,7655,2024-08-28,IN_PROGRESS
Mild,K0E72BQA5H,2023-11-19,946,2025-02-16,IN_PROGRESS
Mild,THFF34G4I4,2023-11-25,0,2024-11-08,NEW
Critical,EQ411E8Y0Q,2023-12-26,7787,2024-09-27,NEW
Mild,AQU9LV1EK5,2024-02-14,3386,2024-09-01,NEW
Critical,N3FQY4SCG5,2024-01-13,1130,2024-12-31,NEW
Critical,AFCJ5O6LRC,2024-01-06,6880,2024-06-10,FINISHED
High,9O5ABE76IK,2023-11-27,1793,2024-08-03,NEW
High,FHES5M54YG,2023-12-25,5715,2024-08-22,IN_PROGRESS
High,5O9RRU6TB2,2023-11-02,3637,2025-03-16,UNREPAIRABLE
Critical,GK1YOO6A0W,2024-01-12,2440,2025-02-13,UNREPAIRABLE
Critical,TRFKIPL8TH,2024-01-11,6856,2024-06-08,NEW
Critical,1CIV6D3H48,2024-04-20,5920,2024-06-24,UNREPAIRABLE
Critical,33Q5KDQH1D,2024-03-13,5714,2024-07-14,FINISHED
High,J5AWQ3VTAM,2024-01-01,3263,2025-01-14,FINISHED
Low,QJLT4VSYDD,2024-04-18,6214,2024-07-22,FINISHED
Low,E2IBOJPALK,2023-12-25,10220,2024-08-15,FINISHED
Low,S9VGD06A6O,2023-10-23,4231,2024-10-24,UNREPAIRABLE
Critical,2N7576PF6P,2024-02-01,3609,2024-05-20,IN_PROGRESS
Mild,WLFV5I07YE,2023-10-26,5541,2024-12-12,IN_PROGRESS
Critical,S7IFEQLSHT,2024-01-27,6220,2024-12-23,NEW
Low,TX9VM0K3NK,2024-02-26,2088,2024-05-24,UNREPAIRABLE
Low,LFIKTL5DCN,2024-04-07,3361,2024-10-08,FINISHED
Critical,XGYY04EVUM,2024-01-07,8472,2025-01-19,UNREPAIRABLE
Critical,DXPGTWZGZA,2023-11-16,973,2024-11-17,UNREPAIRABLE
Critical,862N81BKJ3,2023-12-31,1756,2024-11-12,IN_PROGRESS
Mild,KFG0M7YKYB,2024-03-09,1601,2024-11-25,IN_PROGRESS
High,GZMP9LO5N5,2023-10-25,5403,2024-08-08,FINISHED
Critical,TD143HMKWD,2024-03-09,10084,2024-06-29,IN_PROGRESS
Critical,7L1BVZ5R20,2024-04-21,8777,2024-12-21,IN_PROGRESS
Low,KVCNGQT677,2024-04-03,853,2024-10-10,IN_PROGRESS
Low,D1TR5C4JFD,2024-02-24,10168,2024-09-09,NEW
Low,F5PKS33BP7,2024-02-28,3612,2024-06-22,FINISHED
Mild,4CU0E4L5V5,2023-12-09,2720,2024-12-20,UNREPAIRABLE
Low,TYF9GMA62P,2023-10-11,4318,2025-04-16,UNREPAIRABLE
Low,24PQUDEFU7,2024-01-17,6758,2024-12-12,NEW
Mild,XIR3OAIC8I,2024-01-02,7122,2024-09-18,IN_PROGRESS
Critical,O0OYEYVTNO,2024-03-29,5708,2025-03-16,FINISHED
Low,F87G4MOW1F,2024-03-19,1561,2025-01-19,UNREPAIRABLE
Mild,R7XANDROXV,2024-03-04,2496,2024-10-06,FINISHED
Critical,JLQMF1AYBT,2024-03-30,2240,2025-01-26,FINISHED
Mild,CKDR0950Z2,2024-01-26,7987,2025-01-20,UNREPAIRABLE
Critical,UKY8PPTC6V,2023-10-16,8716,2024-09-02,NEW
Low,IKS2V63K4I,2023-11-07,7167,2025-02-11,FINISHED
Low,0Q1IZDKBSO,2023-11-15,13589,2024-06-25,FINISHED
Mild,62E1X71Y0W,2023-12-07,8830,2024-06-20,FINISHED
Critical,412YKWVV1Z,2023-12-31,6622,2024-08-25,FINISHED
Low,7S5SD745QS,2023-12-07,5664,2024-07-25,FINISHED
